time	latitude	longitude	depth	mag	magType	nst	gap	dmin	rms	net	id	updated	place	type
2013-12-08T17:24:54.200Z	44.4438	149.1667	28	6	mww		26	4.726	0.99	us	usb000lds9	2014-01-17T21:30:03.063Z	134km SE of Kuril'sk, Russia	earthquake
2013-12-01T06:29:57.800Z	2.044	96.8261	20	6	mww		27	1.049	0.89	us	usb000l8pb	2014-01-15T07:30:38.041Z	69km SE of Sinabang, Indonesia	earthquake
2013-11-25T07:21:18.420Z	-53.8708	-53.9107	14.83	6	mwc		58	3.346	0.76	us	usb000l633	2014-01-10T10:29:56.125Z	South Atlantic Ocean	earthquake
2013-11-25T05:56:50.140Z	45.5613	151.0047	34	6	mww		26	5.885	0.66	us	usb000l5z1	2014-01-10T10:28:46.863Z	247km E of Kuril'sk, Russia	earthquake
2013-11-19T17:00:44.160Z	18.4753	145.2041	511	6	mww		10	1.848	1.05	us	usb000l25i	2014-01-10T10:30:15.723Z	58km WSW of Agrihan, Northern Mariana Islands	earthquake
2013-11-19T13:32:51.230Z	2.6403	128.4339	38	6	mww		19	2.14	1.01	us	usb000l219	2014-01-10T10:30:35.302Z	111km NNE of Tobelo, Indonesia	earthquake
2013-11-02T15:52:46.110Z	-23.6357	-112.5956	9.98	6	mww		35	4.558	0.81	us	usb000krjt	2014-01-10T13:03:30.639Z	Easter Island region	earthquake
2013-10-23T08:23:30.360Z	-23.0067	-177.1425	160	6	mwb		19	6.252	0.84	us	usb000kj1z	2014-01-03T00:37:25.940Z	283km SW of Vaini, Tonga	earthquake
2013-10-12T02:10:27.290Z	10.9048	-62.315	63	6	mww		29	1.381	1.06	us	usb000kbhi	2014-01-10T03:40:43.369Z	36km N of Gueiria, Venezuela	earthquake
2013-10-06T16:38:08.760Z	12.3115	141.6905	104	6	mww		12	3.348	0.73	us	usb000k7q5	2014-01-10T03:41:06.558Z	Mariana Islands region	earthquake
2013-09-05T04:01:36.360Z	15.1836	-45.232	10	6	mww		24	14.042	0.8	us	usb000ji6r	2014-01-06T17:57:19.000Z	Northern Mid-Atlantic Ridge	earthquake
2013-09-04T06:27:03.560Z	51.573	-174.8537	17	6	mww		46	0.749	1.13	us	usb000jguz	2014-01-06T17:57:14.000Z	82km SSW of Atka, Alaska	earthquake
2013-09-04T00:23:11.290Z	51.1832	-130.2245	9.92	6	mww		70	1.431	0.87	us	usb000jgfh	2014-01-06T17:57:05.000Z	182km SW of Bella Bella, Canada	earthquake
2013-08-31T06:38:36.350Z	51.2381	-174.9407	18	6	mww		70	0.968	1.17	us	usb000je9f	2013-12-05T20:00:51.000Z	118km SSW of Atka, Alaska	earthquake
2013-08-12T00:53:43.980Z	-7.1354	129.8088	95	6	mww		13	1.7	0.68	us	usb000j0vl	2013-10-12T21:41:00.730Z	189km WNW of Saumlaki, Indonesia	earthquake
2013-08-01T20:01:43.160Z	-15.2443	-173.5006	31.65	6	mww		38	2.132	0.67	us	usb000itmf	2013-09-25T18:09:09.385Z	82km NNE of Hihifo, Tonga	earthquake
2013-07-17T02:37:42.800Z	-15.6346	-71.7729	6.59	6	Mww	88	37	3.56	1.19	us	usb000ifva	2013-09-23T19:52:44.000Z	18km W of Chivay, Peru	earthquake
2013-07-16T09:35:54.610Z	-6.3085	154.7822	44.25	6	Mwb	87	33	3.35	1.11	us	usb000if30	2013-09-23T19:52:42.000Z	77km W of Panguna, Papua New Guinea	earthquake
2013-07-06T05:05:06.540Z	-3.249	100.5668	19.7	6	Mwb	111	37	2.63	1.15	us	usb000i7na	2013-11-01T18:56:53.000Z	157km SW of Sungaipenuh, Indonesia	earthquake
2013-06-16T21:39:04.500Z	34.27	25.114	26	6	Mw	634	100.8	1.028571	0	us	usc000hsdj	2013-09-23T19:51:47.000Z	81km S of Pirgos, Greece	earthquake
2013-06-15T11:20:36.000Z	-33.853	179.402	195	6	Mw	426	25.2	3.80526354	0.77	us	usc000hrgh	2013-09-23T19:51:36.000Z	South of the Kermadec Islands	earthquake
2013-05-21T01:55:05.600Z	52.469	160.486	15.1	6	Mw	106	61.2	1.24865824	1.41	us	usb000h0eg	2013-09-23T19:50:42.000Z	139km ESE of Petropavlovsk-Kamchatskiy, Russia	earthquake
2013-05-18T05:47:59.500Z	37.739	141.471	39	6	Mw	436	14.4	8.98225453	0.77	us	usb000gy67	2013-10-01T08:02:10.000Z	50km NE of Namie, Japan	earthquake
2013-05-07T10:10:55.700Z	-19.638	175.064	70.1	6	Mw	113	75.6	6.83168774	1.1	us	usc000gpwn	2013-09-23T19:50:06.000Z	239km NNE of Ceva-i-Ra, Fiji	earthquake
2013-04-22T01:16:33.200Z	18.127	-101.908	30	6	Mw	596	57.6	1.68793442	1.01	us	usb000gda9	2013-09-23T20:08:55.000Z	20km NNW of La Union, Mexico	earthquake
2013-04-13T22:49:50.500Z	-19.141	169.535	280.2	6	Mw	632	14.4	2.71650542	1.04	us	usb000g6it	2013-09-23T20:07:25.000Z	53km NNE of Isangel, Vanuatu	earthquake
2013-04-01T18:53:18.570Z	39.516	143.2076	20.89	6	Mwb	521	69	2.5	0.63	us	usb000fxh7	2013-09-23T20:05:17.000Z	108km E of Miyako, Japan	earthquake
2013-02-10T18:39:32.300Z	-10.959	165.459	11	6	Mw	160	50.4	5.62345368	0.96	us	usc000f4zf	2013-09-23T19:58:13.000Z	48km WSW of Lata, Solomon Islands	earthquake
2013-02-07T00:30:10.700Z	-11.658	164.94	8	6	Mw	343	25.2	5.37372203	0.77	us	usc000f2ul	2013-09-23T19:56:45.000Z	142km SW of Lata, Solomon Islands	earthquake
2013-02-06T11:53:55.200Z	-11.245	165.727	14	6	Mw	265	72	5.96301686	0.82	us	usc000f2ap	2013-09-23T19:56:20.000Z	59km S of Lata, Solomon Islands	earthquake
2013-02-06T10:33:17.400Z	-10.643	164.764	10	6	Mt	279	28.8	4.8841402	0.97	us	usc000f29g	2013-09-23T19:56:14.000Z	117km W of Lata, Solomon Islands	earthquake
2013-02-06T00:07:22.300Z	-10.865	165.248	12.6	6	Mw	341	28.8	5.40336643	0.58	us	usc000f1r5	2013-09-23T19:56:01.000Z	66km WSW of Lata, Solomon Islands	earthquake
2013-02-02T18:58:05.800Z	-10.938	165.255	3.2	6	Mt	321	39.6	5.42402769	0.81	us	usc000f05y	2013-09-23T19:55:29.000Z	67km WSW of Lata, Solomon Islands	earthquake
2013-02-01T05:36:41.700Z	-11.104	165.532	15	6	Mw	313	28.8	5.73304814	0.92	us	usc000ezil	2013-09-23T19:55:11.000Z	53km SW of Lata, Solomon Islands	earthquake
2012-12-15T04:49:29.650Z	52.291	174.011	26	6	mww	725	45.1		0.73	pde	pde20121215044929650_26	2013-03-16T00:09:33.029Z	Near Islands, Aleutian Islands, Alaska	earthquake
2012-12-11T06:18:27.330Z	0.533	126.231	30	6	mww	445	35		0.74	pde	pde20121211061827330_30	2013-03-16T00:09:29.800Z	Molucca Sea	earthquake
2012-11-19T09:44:34.120Z	-5.705	151.602	13	6	mww	430	12.4		0.88	pde	pde20121119094434120_13	2013-03-16T00:09:06.971Z	New Britain region, Papua New Guinea	earthquake
2012-11-10T14:57:50.740Z	-8.866	-75.071	129	6	mww	524	23.3		0.8	pde	pde20121110145750740_129	2013-03-16T00:08:52.964Z	central Peru	earthquake
2012-10-17T04:42:30.400Z	4.232	124.52	326	6	mww	513	19.5		0.99	pde	pde20121017044230400_326	2013-03-16T00:08:20.300Z	Celebes Sea	earthquake
2012-09-05T13:09:10.060Z	-12.476	166.513	27	6	mww	360	20.5		1.01	pde	pde20120905130910060_27	2013-03-16T00:14:15.643Z	Santa Cruz Islands	earthquake
2012-07-20T06:10:25.170Z	49.407	155.907	19	6	mww	651	25.6		0.71	pde	pde20120720061025170_19	2013-03-16T00:13:05.009Z	Kuril Islands	earthquake
2012-07-08T11:33:02.920Z	45.497	151.288	20	6	mww	626	68.9		0.83	pde	pde20120708113302920_20	2013-03-16T00:12:51.569Z	Kuril Islands	earthquake
2012-06-24T03:15:01.280Z	57.601	163.195	10	6	mww	701	51.3		0.98	pde	pde20120624031501280_10	2013-03-16T00:12:33.845Z	near the east coast of the Kamchatka Peninsula, Russia	earthquake
2012-06-19T15:56:32.530Z	53.351	171.619	14	6	mww	760	21.2		0.75	pde	pde20120619155632530_14	2013-03-16T00:12:26.361Z	Near Islands, Aleutian Islands, Alaska	earthquake
2012-06-10T12:44:16.590Z	36.42	28.88	35	6	mww	529	40.6			pde	pde20120610124416590_35	2013-03-16T00:12:15.808Z	Dodecanese Islands, Greece	earthquake
2012-06-07T04:05:04.520Z	-36.074	-70.57	8	6	mww	461	29		0.98	pde	pde20120607040504520_8	2013-03-16T00:12:11.592Z	Maule, Chile	earthquake
2012-05-26T21:48:10.120Z	26.91	140.055	487.4	6	mwc	513	12.9		0.95	pde	pde20120526214810120_487	2013-03-16T00:11:57.064Z	Bonin Islands, Japan region	earthquake
2012-05-23T22:59:52.700Z	-50.42	139.516	10	6	mww	149	24.1		1.22	pde	pde20120523225952700_10	2013-03-16T00:11:54.186Z	western Indian-Antarctic Ridge	earthquake
2012-05-20T02:03:52.000Z	44.89	11.23	6.3	6	mww	729	11.5			pde	pde20120520020352000_6	2013-05-05T07:29:22.467Z	northern Italy	earthquake
2012-05-01T22:43:33.340Z	14.376	-92.897	14	6	mww	558	32.2		1.09	pde	pde20120501224333340_14	2013-03-16T00:11:28.218Z	offshore Chiapas, Mexico	earthquake
2012-04-23T17:36:21.170Z	-28.556	-177.412	114	6	mww	397	20		0.82	pde	pde20120423173621170_114	2013-03-16T00:11:16.126Z	Kermadec Islands region	earthquake
2012-04-21T01:25:13.200Z	-1.635	134.197	17.4	6	mwc	178	15.5		1.25	pde	pde20120421012513200_17	2013-03-16T00:11:10.378Z	near the north coast of Papua, Indonesia	earthquake
2012-04-12T07:06:00.570Z	28.837	-113.027	9	6	mwb	397	102.9		1.15	pde	pde20120412070600570_9	2013-07-13T01:14:26.631Z	Baja California, Mexico	earthquake
2012-04-11T22:41:46.040Z	43.584	-127.638	8	6	mwc	656	43.9		1.1	pde	pde20120411224146040_8	2013-03-16T00:10:55.275Z	off the coast of Oregon	earthquake
2012-04-11T09:27:56.760Z	1.254	91.735	10	6	mb	205	60.8		1.05	pde	pde20120411092756760_10	2013-03-16T00:10:53.053Z	North Indian Ocean	earthquake
2012-04-02T17:36:42.060Z	16.395	-98.316	9	6	mww	557	46.9		0.89	pde	pde20120402173642060_9	2013-03-16T00:10:43.319Z	Oaxaca, Mexico	earthquake
2012-03-26T18:12:52.850Z	10.071	-104.16	10	6	mwb	342	97.6		0.97	pde	pde20120326181252850_10	2013-03-16T00:10:36.278Z	northern East Pacific Rise	earthquake
2012-03-14T12:05:04.520Z	35.687	140.695	10	6	mwc	476	20.2		0.74	pde	pde20120314120504520_10	2013-03-16T00:10:14.089Z	near the east coast of Honshu, Japan	earthquake
