Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
28789224,08/31/2014 10:35:04 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10029,1703 LEXINGTON AVENUE,LEXINGTON AVENUE,,,,,LATLONG,NEW YORK,,N/A,Pending,09/30/2014 10:35:04 PM,08/31/2014 10:38:31 PM,01 MANHATTAN,MANHATTAN,999301,228068,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7926572464,-73.9456437405,"(40.792657246359134, -73.94564374048252)"
28791196,08/31/2014 10:29:09 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10025,WEST 104 STREET,WEST 104 STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,,,BLOCKFACE,NEW YORK,,N/A,Pending,09/30/2014 10:29:09 PM,08/31/2014 10:36:17 PM,07 MANHATTAN,MANHATTAN,,,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,,,
28788695,08/31/2014 09:31:06 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11216,45 BREVOORT PL,BREVOORT PL,,,,,LATLONG,BROOKLYN,,N/A,Pending,09/30/2014 09:31:06 PM,08/31/2014 09:34:30 PM,03 BROOKLYN,BROOKLYN,997065,187150,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.6803510055,-73.9537969328,"(40.680351005452046, -73.95379693275584)"
28790246,08/31/2014 08:41:34 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Lot,11216,948 BERGEN STREET,BERGEN STREET,,,,,LATLONG,BROOKLYN,,N/A,Pending,09/30/2014 08:41:34 PM,08/31/2014 08:44:27 PM,08 BROOKLYN,BROOKLYN,996549,185773,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.6765721845,-73.9556598264,"(40.676572184513155, -73.95565982644932)"
28792369,08/31/2014 07:25:18 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10002,500B GRAND STREET,GRAND STREET,GRAND STREET,BROOME STREET,,,ADDRESS,NEW YORK,,N/A,Pending,09/30/2014 07:25:18 PM,08/31/2014 07:37:48 PM,03 MANHATTAN,MANHATTAN,989027,199934,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7154480937,-73.9827679857,"(40.71544809371184, -73.98276798566263)"
28788730,08/31/2014 06:49:25 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11219,5510 13 AVENUE,13 AVENUE,55 STREET,56 STREET,,,ADDRESS,BROOKLYN,,N/A,Pending,09/30/2014 06:49:25 PM,08/31/2014 06:55:35 PM,12 BROOKLYN,BROOKLYN,985428,169366,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.6315470191,-73.9957559572,"(40.63154701907021, -73.9957559572027)"
28789227,08/31/2014 01:53:39 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11237,293 HARMAN STREET,HARMAN STREET,KNICKERBOCKER AVENUE,IRVING AVENUE,,,ADDRESS,BROOKLYN,,N/A,Pending,09/30/2014 01:53:39 PM,08/31/2014 02:00:56 PM,04 BROOKLYN,BROOKLYN,1006756,194300,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.6999567659,-73.9188332321,"(40.699956765903536, -73.91883323205256)"
28791690,08/31/2014 11:57:18 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11103,46-03 BROADWAY,BROADWAY,46 STREET,47 STREET,,,ADDRESS,ASTORIA,,N/A,Pending,09/30/2014 11:57:18 AM,08/31/2014 12:04:43 PM,01 QUEENS,QUEENS,1008055,214962,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7566654863,-73.9140753626,"(40.7566654862846, -73.91407536255473)"
28791299,08/31/2014 11:55:10 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11208,399 LINCOLN AVENUE,LINCOLN AVENUE,,,,,LATLONG,BROOKLYN,,N/A,Pending,09/30/2014 11:55:10 AM,08/31/2014 11:58:27 AM,05 BROOKLYN,BROOKLYN,1020820,187126,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.6802188654,-73.8681511213,"(40.68021886537207, -73.8681511212819)"
28792388,08/31/2014 11:29:07 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11103,31-77 46 STREET,46 STREET,NEWTOWN ROAD,BROADWAY,,,ADDRESS,ASTORIA,,N/A,Pending,09/30/2014 11:29:07 AM,08/31/2014 11:41:56 AM,01 QUEENS,QUEENS,1008135,215167,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.757227943,-73.9137858728,"(40.75722794297267, -73.91378587282622)"
