Unique Key	Created Date	Closed Date	Agency	Agency Name	Complaint Type	Descriptor	Location Type	Incident Zip	Incident Address	Street Name	Cross Street 1	Cross Street 2	Intersection Street 1	Intersection Street 2	Address Type	City	Facility Type	Status	Due Date	Resolution Action Updated Date	Community Board	Borough	Latitude	Longitude
27250210	01/27/2014 01:21:34 AM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	11412	200-18 LINDEN BOULEVARD	LINDEN BOULEVARD	200 STREET	200 STREET			ADDRESS	SAINT ALBANS	N/A	Assigned	02/10/2014 01:21:34 AM	01/27/2014 10:13:08 AM	12 QUEENS	QUEENS	40.694424148	-73.7522895923
27248498	01/26/2014 08:54:59 PM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	11434	114-02 MERRICK BOULEVARD	MERRICK BOULEVARD	LINDEN BOULEVARD	115 AVENUE			ADDRESS	JAMAICA	N/A	Assigned	02/09/2014 08:54:59 PM	01/27/2014 10:16:24 AM	12 QUEENS	QUEENS	40.6913632023	-73.7789925597
27247879	01/26/2014 08:51:38 PM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	10022	151 EAST 57 STREET	EAST 57 STREET	LEXINGTON AVENUE	3 AVENUE			ADDRESS	NEW YORK	N/A	Assigned	02/09/2014 08:51:38 PM	01/27/2014 10:14:43 AM	06 MANHATTAN	MANHATTAN	40.7607417677	-73.9686638385
27248460	01/26/2014 08:10:48 PM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	11209	8602 4 AVENUE	4 AVENUE	86 STREET	87 STREET			ADDRESS	BROOKLYN	N/A	Open	03/12/2014 08:10:48 PM	01/27/2014 10:13:36 AM	10 BROOKLYN	BROOKLYN	40.6226834062	-74.0284075361
27248925	01/26/2014 03:54:18 PM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	3 or More	Restaurant/Bar/Deli/Bakery	10038	174 BROADWAY	BROADWAY	CORTLANDT STREET	JOHN STREET			ADDRESS	NEW YORK	N/A	Open	02/09/2014 03:54:18 PM		01 MANHATTAN	MANHATTAN	40.7098798349	-74.0099119991
27249185	01/26/2014 02:23:23 PM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Other (Explain Below)	10025					COLUMBUS AVENUE	WEST   91 STREET	INTERSECTION	NEW YORK	N/A	Open	02/09/2014 02:23:23 PM		07 MANHATTAN	MANHATTAN	40.7896743633	-73.9698491756
27248213	01/26/2014 01:21:23 PM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	11103					STEINWAY STREET	ASTORIA BOULEVARD	INTERSECTION	ASTORIA	N/A	Open	02/09/2014 01:21:23 PM		01 QUEENS	QUEENS	40.769428365	-73.9102392899
27248486	01/26/2014 12:12:39 PM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	11201	216 SMITH STREET	SMITH STREET	BALTIC STREET	BUTLER STREET			ADDRESS	BROOKLYN	N/A	Open	02/09/2014 12:12:39 PM		06 BROOKLYN	BROOKLYN	40.6843756104	-73.9920676646
27249489	01/26/2014 11:39:14 AM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	3 or More	Restaurant/Bar/Deli/Bakery	10314	280 MARSH AVENUE	MARSH AVENUE	BEND	PLATINUM AVENUE			ADDRESS	STATEN ISLAND	N/A	Open	02/09/2014 11:39:14 AM		02 STATEN ISLAND	STATEN ISLAND	40.5771488596	-74.1640654255
27245250	01/25/2014 09:10:12 PM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	10014	24 8 AVENUE	8 AVENUE	WEST 12 STREET	JANE STREET			ADDRESS	NEW YORK	N/A	Open	02/08/2014 09:10:12 PM		02 MANHATTAN	MANHATTAN	40.737676328	-74.0046729962
27246360	01/25/2014 07:40:56 PM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	10471	5780 MOSHOLU AVENUE	MOSHOLU AVENUE	HUXLEY AVENUE	POST ROAD			ADDRESS	BRONX	N/A	Open	02/08/2014 07:40:56 PM		08 BRONX	BRONX	40.9054569518	-73.8978895732
27246934	01/25/2014 05:30:31 PM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	3 or More	Restaurant/Bar/Deli/Bakery	10463	5555 BROADWAY	BROADWAY	VERVEELEN PLACE	WEST 231 STREET			ADDRESS	BRONX	N/A	Open	02/08/2014 05:30:31 PM		08 BRONX	BRONX	40.8784417115	-73.9051380166
27246038	01/25/2014 05:12:17 PM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	10310	1032 CASTLETON AVENUE	CASTLETON AVENUE	NORTH BURGHER AVENUE	BROADWAY			ADDRESS	STATEN ISLAND	N/A	Open	02/08/2014 05:12:17 PM		01 STATEN ISLAND	STATEN ISLAND	40.6345866704	-74.1167705713
27246831	01/25/2014 04:17:59 PM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	10012	70 PRINCE STREET	PRINCE STREET	LAFAYETTE STREET	CROSBY STREET			ADDRESS	NEW YORK	N/A	Open	02/08/2014 04:17:59 PM		02 MANHATTAN	MANHATTAN	40.7238455598	-73.9968865183
27245639	01/25/2014 11:54:10 AM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	10024	588 AMSTERDAM AVENUE	AMSTERDAM AVENUE	WEST 88 STREET	WEST 89 STREET			ADDRESS	NEW YORK	N/A	Open	02/08/2014 11:54:10 AM		07 MANHATTAN	MANHATTAN	40.7892691244	-73.9738687225
27244884	01/25/2014 10:22:00 AM		DOHMH	Department of Health and Mental Hygiene	Food Poisoning	1 or 2	Restaurant/Bar/Deli/Bakery	10002	86 ORCHARD STREET	ORCHARD STREET	GRAND STREET	BROOME STREET			ADDRESS	NEW YORK	N/A	Open	02/08/2014 10:22:00 AM	01/27/2014 09:51:34 AM	03 MANHATTAN	MANHATTAN	40.7179247507	-73.9903248944
