BBL,Boro,Block ,Lot,PHN,Street,Owner Name,Bldg ID,BIN,Units,Housing Type,Tax Class,Program,HPD AM Oversight,Comments,Community District,City Council District,Assembly District,State Senatorial District,Congressional District,ZIP Code,Census Tract
1017240033,1,1724,33,2042,5 AVENUE,1 West 126 Street HDFC,2629,1053567,48,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,110,9,70,30,13,10035,208
1019540016,1,1954,16,10,ST NICHOLAS TERRACE,10 ST NICHOLAS TERRACE HOUSING DEVELOPMENT FUND CO,28347,1059378,11,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,109,9,70,30,13,10027,21303
1012060042,1,1206,42,10,WEST 93 STREET,10 West 93 Street HDFC,36987,1080931,25,COOP,2,Tenant Interim Lease (TIL),,,107,6,69,30,10,10025,177
1018250001,1,1825,1,100,ST NICHOLAS AVENUE,100 Saint Nicholas Avenue,27916,1055040,32,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,110,9,70,30,13,10026,218
1019050036,1,1905,36,207,LENOX AVENUE,100 West 121 Street HDFC,23467,1057633,26,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,110,9,70,30,13,10027,220
1020100036,1,2010,36,637,LENOX AVENUE,100 West 142 Street HDFC,23662,1060094,22,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,110,9,70,30,13,10037,230
1012180036,1,1218,36,570,COLUMBUS AVENUE,100 West 88 Street HDFC,9794,1032247,16,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,107,6,69,29,10,10024,173
1020090033,1,2009,33,611,LENOX AVENUE,100-106 West 141 Street HDFC,23653,1060067,56,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,110,9,70,30,13,10037,230
1018250029,1,1825,29,101,LENOX AVENUE,101-09 West 115 Street HDFC,23418,1055046,31,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,110,9,70,30,13,10026,218
1018420040,1,1842,40,12,WEST 107 STREET,10-12 West 107 Street HDFC,37652,1085310,30,COOP,2,Community Management Program (CMP),Ron Sinacori,,107,7,69,30,13,10025,193
1004020039,1,402,39,102,AVENUE B,102 Avenue B HDFC,6393,1005097,5,COOP,2,Urban Homesteading Program (UHP),Mark Matthews,,103,2,74,27,12,10009,32
1016440069,1,1644,69,1647,PARK AVENUE,102-110 East 117 Street/1647 Park Avenue HDFC,804667,1082375,5,RENTAL,2,Community Management Program (CMP),Graham Smokoski,,111,8,68,30,13,10035,182
1003480030,1,348,30,103,CLINTON STREET,103 Clinton Street HDFC,9651,1004186,16,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,103,1,65,26,12,10002,1402
1016250005,1,1625,5,103,EAST 97 STREET,103 East 97 Street HDFC,18700,1051723,10,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,111,5,68,30,12,10029,15802
1012190026,1,1219,26,109,WEST 88 STREET,103-09 West 88 Street HDFC,36551,1032304,5,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,107,6,69,29,10,10024,173
1012190027,1,1219,27,107,WEST 88 STREET,103-09 West 88 Street HDFC,36550,1032305,5,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,107,6,69,29,10,10024,173
1012190028,1,1219,28,105,WEST 88 STREET,103-09 West 88 Street HDFC,36549,1032306,5,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,107,6,69,29,10,10024,173
1012190029,1,1219,29,103,WEST 88 STREET,103-09 West 88 Street HDFC,36548,1032307,5,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,107,6,69,29,10,10024,173
1018830030,1,1883,30,1046,AMSTERDAM AVENUE,1046 Amsterdam Avenue HDFC,5503,1082738,25,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,109,7,69,30,10,10025,199
1016300003,1,1630,3,105,EAST 102 STREET,105 East 102 Street HDFC,18864,1051876,11,RENTAL,2,Community Management Program (CMP),Graham Smokoski,,111,8,68,29,13,10029,166
1016250006,1,1625,6,105,EAST 97 STREET,105 East 97 Street HDFC,18701,1051724,16,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,111,5,68,30,12,10029,15802
