GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - Married-couple family,Margin of Error; Family households: - Married-couple family,Estimate; Family households: - Other family:,Margin of Error; Family households: - Other family:,"Estimate; Family households: - Other family: - Male householder, no wife present","Margin of Error; Family households: - Other family: - Male householder, no wife present","Estimate; Family households: - Other family: - Female householder, no husband present","Margin of Error; Family households: - Other family: - Female householder, no husband present",Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - Householder living alone,Margin of Error; Nonfamily households: - Householder living alone,Estimate; Nonfamily households: - Householder not living alone,Margin of Error; Nonfamily households: - Householder not living alone
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",1347,71,1091,100,581,121,510,123,210,96,300,92,256,85,243,80,13,20
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",1753,78,1422,108,615,145,807,143,236,98,571,139,331,85,237,72,94,63
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",1945,84,1283,145,580,143,703,141,122,85,581,138,662,152,651,152,11,17
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",831,67,460,73,188,54,272,68,99,57,173,65,371,74,295,68,76,34
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",2980,123,2092,200,380,159,1712,217,266,132,1446,209,888,187,853,172,35,43
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",1835,82,1010,171,224,99,786,144,88,76,698,153,825,163,771,158,54,49
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",1814,83,1223,147,390,140,833,127,139,70,694,124,591,132,493,127,98,60
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",1059,46,835,100,233,79,602,111,66,63,536,108,224,97,163,73,61,74
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",1380,67,1077,111,229,115,848,143,164,92,684,136,303,100,242,81,61,62
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",2340,87,1425,164,570,156,855,153,120,76,735,158,915,176,764,176,151,107
1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",478,55,335,62,138,61,197,58,57,30,140,59,143,59,143,59,0,12
1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",1156,59,950,81,278,82,672,93,144,62,528,94,206,61,194,62,12,21
1400000US36005003500,36005003500,"Census Tract 35, Bronx County, New York",1289,47,899,110,287,97,612,116,92,62,520,111,390,110,356,105,34,40
1400000US36005003700,36005003700,"Census Tract 37, Bronx County, New York",100,54,49,40,35,34,14,22,14,22,0,12,51,37,51,37,0,12
1400000US36005003800,36005003800,"Census Tract 38, Bronx County, New York",397,35,331,54,109,59,222,63,21,26,201,67,66,42,60,41,6,9
1400000US36005003900,36005003900,"Census Tract 39, Bronx County, New York",1894,145,1196,168,478,139,718,167,146,82,572,159,698,157,565,145,133,103
1400000US36005004001,36005004001,"Census Tract 40.01, Bronx County, New York",490,54,327,55,178,46,149,54,54,38,95,47,163,54,147,53,16,20
1400000US36005004100,36005004100,"Census Tract 41, Bronx County, New York",2025,125,1425,134,428,153,997,173,97,80,900,162,600,150,592,149,8,14
1400000US36005004200,36005004200,"Census Tract 42, Bronx County, New York",2702,100,1766,213,352,143,1414,209,286,140,1128,191,936,193,837,197,99,66
1400000US36005004300,36005004300,"Census Tract 43, Bronx County, New York",1809,101,1195,140,404,115,791,132,147,85,644,121,614,122,528,104,86,67
1400000US36005004400,36005004400,"Census Tract 44, Bronx County, New York",1668,67,1093,138,282,117,811,141,113,81,698,133,575,133,562,131,13,18
