GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",0,16,0,16,0,16
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",1379,77,802,116,577,106
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",1819,80,1312,122,507,116
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",1912,105,375,128,1537,151
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",834,60,62,31,772,68
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",2980,101,498,147,2482,168
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",1883,71,17,18,1866,74
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",0,11,0,11,0,11
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",1794,93,33,30,1761,91
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",1086,48,0,11,1086,48
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",1333,85,30,33,1303,92
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",2336,105,308,104,2028,145
1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",509,43,124,47,385,57
1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",1166,55,121,60,1045,71
1400000US36005003500,36005003500,"Census Tract 35, Bronx County, New York",1309,64,74,49,1235,83
1400000US36005003700,36005003700,"Census Tract 37, Bronx County, New York",96,39,0,11,96,39
1400000US36005003800,36005003800,"Census Tract 38, Bronx County, New York",369,43,140,58,229,61
1400000US36005003900,36005003900,"Census Tract 39, Bronx County, New York",1945,141,144,69,1801,145
1400000US36005004001,36005004001,"Census Tract 40.01, Bronx County, New York",503,43,248,59,255,58
1400000US36005004100,36005004100,"Census Tract 41, Bronx County, New York",2018,99,153,94,1865,136
1400000US36005004200,36005004200,"Census Tract 42, Bronx County, New York",2719,106,201,95,2518,129
1400000US36005004300,36005004300,"Census Tract 43, Bronx County, New York",1923,81,178,71,1745,91
1400000US36005004400,36005004400,"Census Tract 44, Bronx County, New York",1670,60,160,76,1510,84
1400000US36005004600,36005004600,"Census Tract 46, Bronx County, New York",686,23,172,65,514,66
1400000US36005004800,36005004800,"Census Tract 48, Bronx County, New York",1234,88,93,57,1141,81
1400000US36005005001,36005005001,"Census Tract 50.01, Bronx County, New York",1456,99,210,93,1246,134
1400000US36005005002,36005005002,"Census Tract 50.02, Bronx County, New York",1752,116,86,52,1666,129
1400000US36005005100,36005005100,"Census Tract 51, Bronx County, New York",1957,69,0,16,1957,69
1400000US36005005200,36005005200,"Census Tract 52, Bronx County, New York",766,60,24,15,742,60
1400000US36005005300,36005005300,"Census Tract 53, Bronx County, New York",1302,93,0,11,1302,93
1400000US36005005400,36005005400,"Census Tract 54, Bronx County, New York",1729,120,278,102,1451,127
1400000US36005005600,36005005600,"Census Tract 56, Bronx County, New York",884,65,70,32,814,67
1400000US36005005902,36005005902,"Census Tract 59.02, Bronx County, New York",1077,62,186,59,891,91
1400000US36005006000,36005006000,"Census Tract 60, Bronx County, New York",314,37,33,23,281,34
1400000US36005006100,36005006100,"Census Tract 61, Bronx County, New York",2191,129,1321,188,870,173
1400000US36005006200,36005006200,"Census Tract 62, Bronx County, New York",2388,98,89,70,2299,112
1400000US36005006300,36005006300,"Census Tract 63, Bronx County, New York",1829,102,225,61,1604,110
1400000US36005006400,36005006400,"Census Tract 64, Bronx County, New York",1238,102,140,74,1098,122
1400000US36005006500,36005006500,"Census Tract 65, Bronx County, New York",1905,68,8,13,1897,71
1400000US36005006700,36005006700,"Census Tract 67, Bronx County, New York",2337,130,122,98,2215,144
1400000US36005006800,36005006800,"Census Tract 68, Bronx County, New York",931,69,260,72,671,89
1400000US36005006900,36005006900,"Census Tract 69, Bronx County, New York",2592,127,163,98,2429,160
1400000US36005007000,36005007000,"Census Tract 70, Bronx County, New York",1302,88,308,93,994,111
1400000US36005007100,36005007100,"Census Tract 71, Bronx County, New York",744,73,285,63,459,76
1400000US36005007200,36005007200,"Census Tract 72, Bronx County, New York",1726,95,456,110,1270,113
1400000US36005007300,36005007300,"Census Tract 73, Bronx County, New York",1332,76,49,48,1283,81
1400000US36005007400,36005007400,"Census Tract 74, Bronx County, New York",1383,69,505,116,878,125
1400000US36005007500,36005007500,"Census Tract 75, Bronx County, New York",1863,77,288,73,1575,103
1400000US36005007600,36005007600,"Census Tract 76, Bronx County, New York",1624,93,330,83,1294,132
1400000US36005007700,36005007700,"Census Tract 77, Bronx County, New York",602,50,147,47,455,61
1400000US36005007800,36005007800,"Census Tract 78, Bronx County, New York",2004,136,297,113,1707,167
1400000US36005007900,36005007900,"Census Tract 79, Bronx County, New York",2282,130,72,70,2210,134
1400000US36005008300,36005008300,"Census Tract 83, Bronx County, New York",2063,87,246,107,1817,132
1400000US36005008400,36005008400,"Census Tract 84, Bronx County, New York",704,57,395,73,309,68
1400000US36005008500,36005008500,"Census Tract 85, Bronx County, New York",1727,105,151,69,1576,105
1400000US36005008600,36005008600,"Census Tract 86, Bronx County, New York",1385,89,154,70,1231,112
1400000US36005008700,36005008700,"Census Tract 87, Bronx County, New York",1845,73,67,52,1778,86
1400000US36005008900,36005008900,"Census Tract 89, Bronx County, New York",1189,58,52,35,1137,66
1400000US36005009000,36005009000,"Census Tract 90, Bronx County, New York",1162,60,302,79,860,88
1400000US36005009200,36005009200,"Census Tract 92, Bronx County, New York",1728,105,427,108,1301,127
1400000US36005009300,36005009300,"Census Tract 93, Bronx County, New York",1627,95,142,66,1485,109
1400000US36005009600,36005009600,"Census Tract 96, Bronx County, New York",727,57,258,68,469,72
1400000US36005009800,36005009800,"Census Tract 98, Bronx County, New York",1683,95,713,129,970,133
1400000US36005011000,36005011000,"Census Tract 110, Bronx County, New York",71,44,0,11,71,44
1400000US36005011502,36005011502,"Census Tract 115.02, Bronx County, New York",1378,76,71,49,1307,75
1400000US36005011700,36005011700,"Census Tract 117, Bronx County, New York",583,39,12,15,571,41
